"동별(1)",동별(2),동별(3),2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",강남구,일원본동,7973,22668,11159,11509,22638,11146,11492,30,13,17,2.84,3699
"합계",강남구,일원1동,7444,14507,6976,7531,14361,6923,7438,146,53,93,1.93,3639
"합계",강남구,수서동,7659,13830,6199,7631,13757,6173,7584,73,26,47,1.80,5238
"합계",강남구,세곡동,20339,46631,21794,24837,46435,21719,24716,196,75,121,2.28,7684
"합계",강남구,압구정동,9996,25662,11934,13728,25487,11834,13653,175,100,75,2.55,5488
"합계",강남구,청담동,10708,24591,11452,13139,24328,11304,13024,263,148,115,2.27,4058
"합계",송파구,소계,287511,657991,315479,342512,651882,312684,339198,6109,2795,3314,2.27,113015
"합계",송파구,풍납1동,5487,12017,5908,6109,11542,5674,5868,475,234,241,2.10,2959
"합계",송파구,풍납2동,10390,23441,11110,12331,23234,11015,12219,207,95,112,2.24,4369
"합계",송파구,거여1동,5560,11912,5907,6005,11826,5878,5948,86,29,57,2.13,2684
"합계",송파구,거여2동,10085,23487,11399,12088,23388,11357,12031,99,42,57,2.32,4810
"합계",송파구,마천1동,8382,17610,8999,8611,17451,8940,8511,159,59,100,2.08,4585
"합계",송파구,마천2동,8458,17378,8839,8539,17215,8769,8446,163,70,93,2.04,4547
"합계",송파구,방이1동,6182,15188,7265,7923,15084,7222,7862,104,43,61,2.44,2608
"합계",송파구,방이2동,15992,26901,12247,14654,26263,11943,14320,638,304,334,1.64,3969
"합계",송파구,오륜동,5893,17712,8688,9024,17681,8669,9012,31,19,12,3.00,3389
"합계",송파구,오금동,16033,38295,18498,19797,38014,18365,19649,281,133,148,2.37,7642
"합계",송파구,송파1동,12545,23514,10853,12661,23229,10717,12512,285,136,149,1.85,3847
"합계",송파구,송파2동,7239,18767,9024,9743,18637,8958,9679,130,66,64,2.57,3325
"합계",송파구,석촌동,17094,31075,14639,16436,30514,14398,16116,561,241,320,1.79,5136
"합계",송파구,삼전동,16197,29142,13622,15520,28756,13458,15298,386,164,222,1.78,4512
"합계",송파구,가락본동,11552,25183,12392,12791,24887,12257,12630,296,135,161,2.15,4422
"합계",송파구,가락1동,9764,27646,13365,14281,27382,13231,14151,264,134,130,2.80,4124
