"동별(1)",동별(2),동별(3),2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",종로구,소계,72341,150011,71561,78450,138879,66846,72033,11132,4715,6417,1.92,29598
"합계",종로구,사직동,4582,9253,4101,5152,8995,3948,5047,258,153,105,1.96,1925
"합계",종로구,삼청동,1111,2469,1196,1273,2234,1073,1161,235,123,112,2.01,645
"합계",종로구,부암동,4127,9321,4391,4930,9054,4255,4799,267,136,131,2.19,1965
"합계",종로구,평창동,7129,17433,8092,9341,17232,7987,9245,201,105,96,2.42,3785
"합계",종로구,무악동,2997,7906,3631,4275,7876,3615,4261,30,16,14,2.63,1544
"합계",종로구,교남동,4319,9788,4511,5277,9621,4418,5203,167,93,74,2.23,1740
"합계",종로구,가회동,1884,3927,1845,2082,3826,1791,2035,101,54,47,2.03,864
"합계",종로구,종로1.2.3.4가동,4929,8591,4967,3624,6708,4027,2681,1883,940,943,1.36,1833
"합계",종로구,종로5.6가동,3550,5802,3048,2754,5306,2796,2510,496,252,244,1.49,1110
"합계",종로구,이화동,4357,7553,3481,4072,7012,3257,3755,541,224,317,1.61,1408
"합계",종로구,창신1동,2577,5328,2807,2521,4446,2344,2102,882,463,419,1.73,1261
"합계",종로구,창신2동,3920,8579,4415,4164,7380,3804,3576,1199,611,588,1.88,1977
"합계",종로구,창신3동,2734,6459,3196,3263,6246,3079,3167,213,117,96,2.28,1381
"합계",종로구,숭인1동,2998,6086,2923,3163,5756,2792,2964,330,131,199,1.92,1333
"합계",종로구,숭인2동,6913,11029,5164,5865,10064,4900,5164,965,264,701,1.46,1828
"합계",종로구,청운효자동,4981,11272,5147,6125,11143,5079,6064,129,68,61,2,2234
"합계",종로구,혜화동,9233,19215,8646,10569,15980,7681,8299,3235,965,2270,1.73,2765
"합계",중구,소계,65378,131589,63248,68341,121324,58447,62877,10265,4801,5464,1.86,26712
"합계",중구,소공동,1259,3470,1705,1765,2196,1017,1179,1274,688,586,1.74,352
"합계",중구,회현동,2475,4994,2588,2406,4317,2243,2074,677,345,332,1.74,1384
"합계",중구,명동,1359,3355,1472,1883,2560,1057,1503,795,415,380,1.88,773
"합계",중구,필동,2763,5176,2568,2608,4321,2206,2115,855,362,493,1.56,926
"합계",중구,장충동,2869,5452,2772,2680,4557,2365,2192,895,407,488,1.59,923
"합계",중구,광희동,3979,7086,3450,3636,5771,2844,2927,1315,606,709,1.45,1205
"합계",중구,을지로동,2141,3440,1837,1603,3125,1680,1445,315,157,158,1.46,515
"합계",중구,신당5동,5401,10460,5055,5405,10104,4906,5198,356,149,207,1.87,2005
"합계",중구,황학동,7790,13917,6502,7415,13041,6130,6911,876,372,504,1.67,2225
"합계",중구,중림동,5989,12447,6073,6374,12106,5915,6191,341,158,183,2.02,2265
"합계",중구,신당동,4706,8850,4234,4616,7394,3603,3791,1456,631,825,1.57,1631
"합계",중구,다산동,6794,13551,6542,7009,13091,6338,6753,460,204,256,1.93,3048
"합계",중구,약수동,7749,16250,7485,8765,16017,7366,8651,233,119,114,2.07,4255
"합계",중구,청구동,6107,13094,6135,6959,12847,6029,6818,247,106,141,2.10,3007
"합계",중구,동화동,3997,10047,4830,5217,9877,4748,5129,170,82,88,2.47,2198
"합계",용산구,소계,103860,218370,105220,113150,205145,98118,107027,13225,7102,6123,1.98,39250
"합계",용산구,후암동,8285,16367,7897,8470,15888,7650,8238,479,247,232,1.92,3187
"합계",용산구,용산2가동,4983,10136,4981,5155,8759,4304,4455,1377,677,700,1.76,2129
"합계",용산구,남영동,4813,7283,4402,2881,6756,4123,2633,527,279,248,1.40,1612
"합계",용산구,원효로1동,9354,17743,8264,9479,17036,7879,9157,707,385,322,1.82,2162
"합계",용산구,원효로2동,6272,13640,6407,7233,13518,6357,7161,122,50,72,2.16,2543
"합계",용산구,효창동,4707,10710,5023,5687,10550,4954,5596,160,69,91,2.24,1672
"합계",용산구,용문동,5287,11324,5336,5988,11209,5292,5917,115,44,71,2.12,2332
"합계",용산구,이촌1동,9116,25488,11988,13500,24955,11694,13261,533,294,239,2.74,4615
"합계",용산구,이촌2동,3585,7817,3636,4181,7752,3610,4142,65,26,39,2.16,1876
"합계",용산구,이태원1동,3440,7727,4119,3608,6077,3037,3040,1650,1082,568,1.77,1440
"합계",용산구,이태원2동,4903,10235,4876,5359,8716,4120,4596,1519,756,763,1.78,1958
"합계",용산구,서빙고동,5118,13268,6396,6872,12562,6038,6524,706,358,348,2.45,2350
"합계",용산구,보광동,4228,8361,4380,3981,7385,3709,3676,976,671,305,1.75,1783
"합계",용산구,청파동,11186,19374,8858,10516,18713,8654,10059,661,204,457,1.67,3443
"합계",용산구,한강로동,11256,22675,10840,11835,20929,9914,11015,1746,926,820,1.86,3404
"합계",용산구,한남동,7327,16222,7817,8405,14340,6783,7557,1882,1034,848,1.96,2744
"합계",성동구,소계,132856,282385,136194,146191,275403,133271,142132,6982,2923,4059,2.07,50825
"합계",성동구,왕십리2동,7428,16372,7812,8560,16031,7676,8355,341,136,205,2.16,2860
"합계",성동구,마장동,10798,21984,10736,11248,21382,10505,10877,602,231,371,1.98,4271
"합계",성동구,사근동,8353,13935,6968,6967,12101,6322,5779,1834,646,1188,1.45,1574
"합계",성동구,행당1동,6489,14011,6645,7366,13726,6551,7175,285,94,191,2.12,2341
"합계",성동구,행당2동,9200,22746,10595,12151,22653,10559,12094,93,36,57,2.46,4281
"합계",성동구,응봉동,5923,14878,7044,7834,14808,7009,7799,70,35,35,2.50,2684
"합계",성동구,금호1가동,6454,14714,6976,7738,14612,6926,7686,102,50,52,2.26,2922
