"동별(1)",동별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
"동별(1)",동별(2),인원,인원,인원,인원,인원,인원,인원,인원,인원,인원
"동별(1)",동별(2),남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
"광진구",자양2동,396,511,315,409,79,99,2,3,-,-
"광진구",자양3동,185,205,154,185,30,19,1,1,-,-
"광진구",자양4동,538,467,420,401,114,60,4,6,-,-
"광진구",기타,14,75,-,-,-,-,-,-,14,75
"동대문구",소계,8373,7955,6945,6653,1144,894,224,296,60,112
"동대문구",회기동,180,173,146,144,30,23,4,6,-,-
"동대문구",휘경1동,188,172,137,140,46,28,5,4,-,-
"동대문구",휘경2동,332,327,293,284,33,40,6,3,-,-
"동대문구",청량리동,967,861,832,749,110,72,25,40,-,-
"동대문구",용신동,1020,662,855,576,139,76,26,10,-,-
"동대문구",제기동,915,686,775,591,111,64,29,31,-,-
"동대문구",전농1동,954,882,778,753,142,74,34,55,-,-
"동대문구",전농2동,316,479,261,416,40,41,15,22,-,-
"동대문구",답십리2동,595,753,506,664,71,64,18,25,-,-
"동대문구",장안1동,860,808,739,688,106,104,15,16,-,-
"동대문구",장안2동,717,665,574,508,133,138,10,19,-,-
"동대문구",이문1동,391,375,323,318,60,49,8,8,-,-
"동대문구",이문2동,464,551,392,452,55,60,17,39,-,-
"동대문구",답십리1동,410,445,330,366,68,61,12,18,-,-
"동대문구",기타,64,116,4,4,-,-,-,-,60,112
"중랑구",소계,13075,14944,11070,12711,1777,1694,105,111,123,428
"중랑구",면목2동,835,913,738,816,93,91,4,6,-,-
"중랑구",면목4동,817,977,664,831,147,141,6,5,-,-
"중랑구",면목5동,385,404,324,346,60,53,1,5,-,-
"중랑구",면목7동,560,588,466,508,91,70,3,10,-,-
"중랑구",상봉1동,773,943,644,801,122,137,7,5,-,-
