"자치구","행정동명","폭염취약성지수"
"구로구","가리봉동",0.132819275902606
"강동구","길동",0.131618503291177
"강동구","명일1동",0.130915004591426
"동대문구","제기동",0.129179828937199
"광진구","중곡3동",0.129019426716918
"강동구","성내1동",0.126682613675264
"구로구","구로1동",0.125087701883448
"금천구","시흥5동",0.123827645866749
"강동구","암사2동",0.123756538755892
"광진구","중곡4동",0.12341817922522
"영등포구","당산2동",0.120008743625848
"동대문구","휘경1동",0.119370179568468
"구로구","구로3동",0.118621444484567
"광진구","중곡2동",0.117939133056118
"강동구","고덕2동",0.116700916661742
"영등포구","양평1동",0.116400239639657
"영등포구","문래동",0.115891588168162
"광진구","중곡1동",0.115705937151188
"동대문구","회기동",0.115681078636195
"강동구","고덕1동",0.115175704399049
"영등포구","신길7동",0.112258528198692
"성북구","월곡2동",0.112108593601402
"영등포구","여의동",0.111999973361839
"강동구","강일동",0.111948547954518
"서대문구","홍제3동",0.111622657281373
"성북구","월곡1동",0.111156434349858
"광진구","구의2동",0.110379286660933
"동대문구","전농1동",0.110356225025958
"동대문구","이문2동",0.110178309239159
"동대문구","전농2동",0.108771722515484
"영등포구","양평2동",0.106137075099923
"강동구","명일2동",0.105809171987623
"강동구","둔촌2동",0.102978059655209
"양천구","신월7동",0.102677746565023
"광진구","자양4동",0.100759494181361
"광진구","자양1동",0.0988668444005008
"동대문구","용신동",0.0980871156878438
"동대문구","장안2동",0.0980815182134522
"동작구","노량진2동",0.0958932185611883
"양천구","신월3동",0.0955569306888687
"서대문구","홍제2동",0.0953391715277335
"양천구","신정7동",0.0950538360078622
"동대문구","장안1동",0.0947489494374591
"성북구","삼선동",0.0946706600318262
"광진구","군자동",0.0943659650754386
"금천구","시흥4동",0.0935302610579962
"성북구","석관동",0.09310829373707
"동작구","상도3동",0.0927513727743466
"금천구","시흥2동",0.0925337498615545
"마포구","공덕동",0.0921075668156714
"서대문구","북가좌2동",0.0892481644164066
"동작구","상도4동",0.089079858301166
"성북구","장위3동",0.0879208025142719
"마포구","성산2동",0.0870328937734133
"광진구","구의1동",0.0860143932630145
"서대문구","남가좌2동",0.0847589176874959
"금천구","독산2동",0.084493696897063
"동대문구","이문1동",0.0824711852204224
"광진구","능동",0.0821980860733157
"강동구","암사3동",0.0820270471185461
"성북구","보문동",0.081710989115468
"금천구","시흥3동",0.0816499054938866
"성북구","돈암1동",0.0810323954027688
"서대문구","북가좌1동",0.0802818837722114
"광진구","구의3동",0.0802428439236353
"동작구","신대방1동",0.0799387673461601
"금천구","시흥1동",0.0799163013426078
"성동구","행당2동",0.0796938232818205
"마포구","연남동",0.0793185383369951
"양천구","신정4동",0.0777194384290876
"성동구","성수2가1동",0.0771414710075749
"금천구","독산3동",0.0766019731192221
"광진구","자양3동",0.0759263634705924
"광진구","자양2동",0.0745687586617759
"양천구","신월1동",0.0741189163583002
"성북구","성북동",0.0732762212528723
"마포구","성산1동",0.0722528410117437
"성동구","마장동",0.0720311970283678
"성북구","길음2동",0.0716921526405125
"성북구","종암동",0.0716889272753277
"성북구","길음1동",0.0715776105731272
"마포구","아현동",0.0693728516907378
"서대문구","홍은1동",0.0692505679872338
"성북구","돈암2동",0.0679097051871122
"동작구","상도2동",0.0671458319018297
"금천구","독산4동",0.0670736809358817
"동작구","대방동",0.0669773526104988
"서대문구","홍은2동",0.0655329368368311
"서대문구","북아현동",0.065415106808432
"성동구","송정동",0.0652749373411908
"동작구","사당5동",0.0650088849478564
"마포구","용강동",0.06457213233688
"마포구","신수동",0.0638736540772927
"동작구","사당4동",0.0635043003791242
"성동구","용답동",0.0633798770880731
"마포구","망원2동",0.0618882420417832
"동작구","노량진1동",0.0618110002040013
"양천구","목2동",0.0614995822941242
"동작구","신대방2동",0.0611828864213856
"양천구","신월4동",0.0608304946908389
"서대문구","홍제1동",0.0588805333788453
"양천구","목4동",0.0587034669302084
"동작구","상도1동",0.0577846527363263
"성동구","성수1가2동",0.0546650367770883
"성동구","옥수동",0.0545754647964398
"성동구","왕십리2동",0.054332811978699
"양천구","목3동",0.0539223050795849
"양천구","신월5동",0.0537269374213114
"마포구","서교동",0.0529076250892095
"마포구","도화동",0.0528089192655243
"성동구","성수2가3동",0.0527258893777899
"서대문구","천연동",0.0517538375286798
"성동구","왕십리도선동",0.0513931429813739
"성북구","안암동",0.0511062825874576
"동작구","사당3동",0.0495112108223036
"성북구","동선동",0.0489819938241459
"마포구","염리동",0.0479826032992637
"광진구","광장동",0.0478246872933912
"금천구","독산1동",0.0476900511776959
"마포구","합정동",0.0466782060294822
"성동구","응봉동",0.0461819843699184
"서대문구","충현동",0.0461585874593193
"성동구","행당1동",0.0452304521263326
"광진구","화양동",0.0430237079115323
"양천구","신정6동",0.0420678522145818
"동작구","사당2동",0.0419637657303399
"양천구","신월2동",0.0417003609638628
"성동구","금호4가동",0.0415398335588645
"마포구","망원1동",0.0411988003938906
"양천구","신정2동",0.0394407961304724
"동작구","사당1동",0.0390026908570239
"성동구","금호1가동",0.0383664408749997
"성동구","성수1가1동",0.0383521848462634
"양천구","신정1동",0.038106053257758
"마포구","상암동",0.0375323705282051
"용산구","남영동",0.0353842526495758
"동작구","흑석동",0.034942456415046
"강남구","일원1동",0.0348071608746728
"서대문구","남가좌1동",0.0343905175074161
"서대문구","신촌동",0.0338546598353176
"성동구","사근동",0.0333186303058516
"양천구","신정3동",0.0323239565035041
"양천구","신월6동",0.0319956434448561
"양천구","목1동",0.0309285924565579
"마포구","대흥동",0.0307586845873315
"금천구","가산동",0.029244060452722
"서대문구","연희동",0.0266820929453235
"용산구","보광동",0.0255740870099963
"마포구","서강동",0.0254977586288053
"용산구","후암동",0.00577040949714137
"양천구","목5동",-0.00292814315627337
"용산구","용문동",-0.0101498567447607
"용산구","이촌2동",-0.0105044557710537
"강남구","세곡동",-0.011136687317957
"용산구","이촌1동",-0.0150283064932414
"용산구","청파동",-0.0169335692629337
"용산구","원효로2동",-0.0180781633159097
"용산구","이태원2동",-0.0197511653637921
"용산구","이태원1동",-0.0211472878131662
"강남구","압구정동",-0.0247055894309639
"용산구","용산2가동",-0.0248052390534331
"용산구","서빙고동",-0.0275296669163724
