"자치구","행정동명","평균자외선지수","평균노인체감온도","폭염시간합계","온열질환환자수","무더위쉼터개수","노인대비쉼터수","인구당보건인력","도시화면적비율","재정자립도","RGDP","단독연립대세대주택","인구당소방인력"
"강북구","삼각산동",6.514925373,28.79850746,69,8,1,0.000196078431372549,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","우이동",6.611940299,28.28606965,21,8,4,0.000750609870519797,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","송중동",6.671641791,28.2960199,41,8,7,0.00105708245243129,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","미아동",6.619402985,28.21890547,107,8,5,0.000994629003381739,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","삼양동",6.597014925,28.12437811,97,8,10,0.001822821728035,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","송천동",6.708955224,28.6641791,115,8,7,0.00105089325927038,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","인수동",6.708955224,28.10696517,62,8,7,0.000907441016333938,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강서구","발산1동",6.634328358,28.21890547,107,12,3,0.000524842547235829,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","우장산동",6.641791045,28.48258706,64,12,2,0.000289393720156273,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","가양3동",6.731343284,28.21641791,98,12,5,0.00122488975992161,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","가양2동",6.73880597,28.58706468,18,12,5,0.00105999576001696,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡본동",6.731343284,28.21641791,98,12,5,0.000873667656823344,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡8동",6.641791045,28.55970149,97,12,5,0.00101461038961039,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡6동",6.708955224,28.55970149,97,12,4,0.000868432479374729,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡2동",6.712686567,28.40547264,110,12,3,0.000925925925925926,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","염창동",6.664179104,28.28358209,83,12,4,0.000777151738877016,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","등촌2동",6.71641791,28.55970149,97,12,3,0.000812787862367922,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","방화3동",6.604477612,28.12437811,97,12,8,0.00134408602150538,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","방화2동",6.597014925,28.12437811,97,12,7,0.0012799414883891,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡1동",6.701492537,28.40547264,110,12,4,0.000416536499010726,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","가양1동",6.656716418,28.6641791,115,12,5,0.00133226751931788,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
