"행정동명","자치구","폭염취약성지수","노인대비쉼터수","scaled_취약성지수","scaled_역비례_쉼터개수","우선순위지수"
"불광2동","은평구",0.349918766776744,0.000753693096171239,0.984129129619472,0.906869748725276,0.966062556382546
"방학2동","도봉구",0.359496269482729,0.00141585760517799,1,0.82504924722105,0.959088973386097
"갈현1동","은평구",0.34726709334786,0.000914634146341463,0.979735044170139,0.886983032873807,0.95804562619186
"대조동","은평구",0.342707218547929,0.000901875901875902,0.972178880092428,0.888559508124726,0.952625066818296
"구산동","은평구",0.340846064435312,0.00086617583369424,0.969094763430047,0.892970794810477,0.951293698520735
"갈현2동","은평구",0.332552214293079,0.000525394045534151,0.955351032459274,0.935079570547476,0.950610690936856
"역촌동","은평구",0.332144720249385,0.000521702838063439,0.954675774477435,0.935535675401031,0.950199994349202
"응암3동","은평구",0.340220844374201,0.000976403580146461,0.968058711877381,0.879350479357555,0.947314903669386
"쌍문2동","도봉구",0.333812999057475,0.000903342366757001,0.95744027766105,0.888378304072896,0.941290611571625
"녹번동","은평구",0.330140767519442,0.000761711311412974,0.951355026365742,0.90587897621584,0.940720765761397
"가양2동","강서구",0.33548267741265,0.00105999576001696,0.960207100032773,0.869021393479643,0.938883951613308
"불광1동","은평구",0.329798353157517,0.000930990340975212,0.950787611861004,0.884961976128193,0.935394741052699
"쌍문1동","도봉구",0.324581877191571,0.000972006220839813,0.942143394632338,0.879893840016228,0.927586765723053
"도봉1동","도봉구",0.330116204612051,0.00140756959649672,0.951314323195893,0.826073356815492,0.922027587201031
"신사2동","은평구",0.320978770871062,0.00116387337057728,0.936172690667481,0.856185733948668,0.917468292640551
"창3동","도봉구",0.314540008045871,0.000924499229583975,0.925503023078067,0.885764051718363,0.916210338770729
"응암1동","은평구",0.305762985412075,0.000684228532329798,0.9109586274434,0.915453152657335,0.912009641158537
"방학1동","도봉구",0.30050371744569,0.000599700149925037,0.902243499632598,0.925897920604915,0.907774922793478
"도봉2동","도봉구",0.298643022994522,0.00054061359643195,0.899160144674755,0.933198963432191,0.907119887619393
"증산동","은평구",0.307721879769373,0.00112139052425007,0.914204709369787,0.861435136090491,0.901864908697073
"창2동","도봉구",0.29691599924742,0.000659087164277476,0.896298295310074,0.918559751266235,0.9015039832115
"가양3동","강서구",0.307719014696268,0.00122488975992161,0.914199961659943,0.848646230534904,0.898870673868391
"신사1동","은평구",0.295607533501117,0.000696621386276559,0.894130037999746,0.913921826965305,0.89875821131278
"응암2동","은평구",0.294839156181209,0.000682283375028428,0.892856760693338,0.915693506442139,0.898196976144052
"방학3동","도봉구",0.288830038059204,0.000498670212765957,0.882899056921975,0.938381706753006,0.895873291829756
"쌍문3동","도봉구",0.295255764546197,0.000785545954438335,0.893547122008092,0.902933843368967,0.895742142042658
"등촌3동","강서구",0.296353389912007,0.00153944836433611,0.895365995929816,0.809777728198121,0.87535176996399
"창4동","도봉구",0.259856222440728,0.000198019801980198,0.834886575356942,0.975531640120534,0.867775453491279
"진관동","은평구",0.270360519713743,0.000949767834529337,0.852293236109371,0.882641731055114,0.859390022288885
"창1동","도봉구",0.258842563605033,0.000569476082004556,0.833206842290269,0.929632564127959,0.855755332135014
"신사동(관악)","관악구",0.250443705803593,0.000251509054325956,0.819289103229977,0.968922229026332,0.854279777431367
"상계5동","노원구",0.248595576555241,0.000176304654442877,0.816226570057448,0.978214877046667,0.854106418146758
"난곡동","관악구",0.254632690916873,0.0005009183503089,0.826230666370156,0.938103915148787,0.852391453823007
"쌍문4동","도봉구",0.254903169524898,0.000539083557951483,0.82667887620736,0.933388022969647,0.851632074029005
"창5동","도봉구",0.253456980152031,0.000591599290080852,0.824282397209956,0.926898905112618,0.848278559667948
"수색동","은평구",0.271808948301909,0.00148588410104012,0.85469342570826,0.816396408036695,0.845737932323364
"성현동","관악구",0.248915513873258,0.000504371217215871,0.816756737874678,0.937677260898804,0.845033167995888
"중화2동","중랑구",0.247971451960112,0.000714413288087158,0.815192333800391,0.911723366750274,0.837765449922218
"미성동","관악구",0.239787143097657,0.000456760048721072,0.801630123577359,0.943560345284118,0.834819526797012
"마천1동","송파구",0.249944787058758,0.00109051254089422,0.818462345465163,0.865250580816462,0.829403451526554
"화곡1동","강서구",0.232409080851647,0.000416536499010726,0.789403943835042,0.948530576948327,0.826614609230143
"방화3동","강서구",0.253497065903729,0.00134408602150538,0.824348823269946,0.833917718560074,0.826586443421114
"월계2동","노원구",0.243291055531723,0.000916170407695831,0.807436453449866,0.886793204405585,0.825993482206663
"월계3동","노원구",0.24077745715534,0.000881186664708474,0.803271172035187,0.891115978212979,0.823813073949571
"신원동","관악구",0.226806778676229,0.000284495021337127,0.780120374371465,0.964846310841734,0.823317260256043
"마천2동","송파구",0.258395637553754,0.00175940180338685,0.83246624156717,0.782599133685851,0.820805162404689
"화곡3동","강서구",0.230181957305008,0.000636942675159236,0.785713379580955,0.92129603987815,0.817418449354566
"화곡2동","강서구",0.234031952322149,0.000925925925925926,0.792093202563886,0.885587761674718,0.813956260226011
"면목2동","중랑구",0.229395369087167,0.000760745530620008,0.784409925013367,0.905998313129476,0.812842530778972
"은천동","관악구",0.22208508009303,0.000463821892393321,0.772296052260541,0.942687747035573,0.812140974611559
"망우3동","중랑구",0.228002563640904,0.00077962577962578,0.782101908468603,0.903665371056675,0.810528685571429
"공릉1동","노원구",0.215529657017625,0.000269360269360269,0.76143306708443,0.966716439759918,0.809437167607107
"청림동","관악구",0.224218542102432,0.00066203243958954,0.775831410072744,0.918195817682023,0.809122344670406
