"행정동명","자치구.x","평균자외선지수","평균노인체감온도","폭염시간합계","온열질환환자수","등록인구수","노인인구수","노인인구비율","독거노인수","독거노인비율","기초생활수급자수","기초생활수급자비율","저소득노인수","저소득노인비율","장애인구수","장애인구비율","인구밀도","단독연립다세대주택","무더위쉼터개수","노인대비쉼터수.x","인구당보건인력","인구당소방인력","도시화면적비율","하천변조경비율","녹지비율","재정자립도","RGDP","면적.km.","하천변조경.km.","녹지면적.km.","위도.x","경도.x","위도.y","경도.y","자치구.y","폭염취약성지수","노인대비쉼터수.y","scaled_취약성지수","scaled_역비례_쉼터개수","우선순위지수"
"갈현2동","은평구",6.611940299,28.14179104,115,20,27591,5710,0.206951542169548,1295,0.0469355949403791,1571,0.0569388568736182,36,0.00130477329563988,1256,0.0455220905367692,28740.625,68309,3,0.000525394045534151,0.000430641076731241,0.000548478187279591,0.5347,0.00218385416666667,0.0137835286458333,16,5112192,0.96,0.0020965,0.0132321875,37.6182835529826,126.912123639871,37.6182835529826,126.912123639871,"은평구",0.332552214293079,0.000525394045534151,0.955351032459274,0.935079570547476,0.950610690936856
"강일동","강동구",6.537313433,28.16666667,64,7,34868,6517,0.186904898474246,1357,0.0389182058047493,2374,0.0680853504646094,68,0.00195021222897786,1724,0.0494436159229093,15428.3185840708,56170,30,0.00460334509743747,0.000495579991609918,0.000652078936328839,0.5549,0.00208006084070796,0.007475,21.9,9364063,2.26,0.0047009375,0.0168935,37.5638939772393,127.174019246406,37.5638939772393,127.174019246406,"강동구",0.111948547954518,0.00460334509743747,0.589788912415109,0.431186662307944,0.552700870368456
"개봉1동","구로구",6.529850746,28.79850746,69,10,33721,7365,0.218409892945049,1785,0.0529343732392278,1651,0.0489605883574034,36,0.00106758399810207,1665,0.0493757599122209,25741.2213740458,82729,10,0.00135777325186694,0.000495807141140609,0.000774066250964421,0.7445,0.00827979643765903,0.0162245801526718,19.9,14663398,1.31,0.0108465333333333,0.0212542,37.4998848760817,126.849876406899,37.4998848760817,126.849876406899,"구로구",0.141927854829181,0.00135777325186694,0.639467592558788,0.832226452964963,0.684542922289473
"개봉2동","구로구",6.649253731,28.28358209,83,10,29856,7376,0.247052518756699,1279,0.0428389603429796,881,0.0295083065380493,25,0.000837352625937835,1453,0.048666934619507,37320,82729,3,0.000406724511930586,0.000495807141140609,0.000774066250964421,0.7445,0.0135581666666667,0.02656775,19.9,14663398,0.8,0.0108465333333333,0.0212542,37.4927299904511,126.856363960744,37.4927299904511,126.856363960744,"구로구",0.162148731031608,0.000406724511930586,0.672975586765763,0.949742997264925,0.737695736390376
"개봉3동","구로구",6.649253731,28.28358209,83,10,19782,4893,0.247346072186837,1066,0.0538873723587099,711,0.0359417652411283,34,0.00171873420281064,1091,0.0551511475078354,24422.2222222222,82729,3,0.000613120784794605,0.000495807141140609,0.000774066250964421,0.7445,0.0133907818930041,0.0262397530864198,19.9,14663398,0.81,0.0108465333333333,0.0212542,37.4868357662504,126.852411120751,37.4868357662504,126.852411120751,"구로구",0.169244430253054,0.000613120784794605,0.684733863015835,0.924239596939727,0.740740626628468
"개포1동","강남구",6.619402985,28.65671642,152,10,26148,4120,0.157564632094233,599,0.0229080618020499,158,0.00604252715312835,20,0.000764876854826373,291,0.0111289582377237,20588.9763779528,100572,0,0,0.000532978518319719,0.000687958087476517,0.6626,0.0414630279169649,0.0193343235504653,56.1,77924019,1.27,0.0526580454545455,0.0245545909090909,37.4792839642028,127.064709696692,37.4792839642028,127.064709696692,"강남구",-0.0385879747258419,0,0.340334987698129,1,0.494593100028983
"개포2동","강남구",6.552238806,28.65671642,152,10,42306,5669,0.133999905450763,754,0.0178225310830615,194,0.00458563797097338,12,0.000283647709544745,759,0.0179407176287051,16854.9800796813,100572,4,0.000705591815134944,0.000532978518319719,0.000687958087476517,0.6626,0.0209793009779066,0.00978270554147048,56.1,77924019,2.51,0.0526580454545455,0.0245545909090909,37.4864768562466,127.067634832479,37.4864768562466,127.067634832479,"강남구",-0.0521387618191885,0.000705591815134944,0.317879991639684,0.912813393973326,0.457001063539982
"개포4동","강남구",6.701492537,28.40547264,110,10,23303,3790,0.162640003433034,871,0.0373771617388319,739,0.0317126550229584,16,0.000686606874651332,596,0.0255761060807621,15639.5973154362,100572,1,0.000263852242744063,0.000532978518319719,0.000687958087476517,0.6626,0.0353409701037218,0.016479591214155,56.1,77924019,1.49,0.0526580454545455,0.0245545909090909,37.4755522409205,127.053236814105,37.4755522409205,127.053236814105,"강남구",-0.0309294415753091,0.000263852242744063,0.353025935502417,0.967397040266147,0.496692380022148
"거여1동","송파구",6.649253731,28.28358209,83,18,11912,2684,0.225319006044325,877,0.0736232370718603,562,0.0471793149764943,10,0.00083948959032908,620,0.052048354600403,23356.862745098,100543,4,0.0014903129657228,0.000283848992336077,0.000490284623125952,0.6879,0.00503740014524328,0.0428602759622367,31.9,31834324,0.51,0.00256907407407407,0.0218587407407407,37.4943859754458,127.141676255779,37.4943859754458,127.141676255779,"송파구",0.227885834766954,0.0014903129657228,0.78190847716558,0.815849154409383,0.789845270394298
"거여2동","송파구",6.641791045,28.48258706,64,18,23487,4810,0.204794141439946,1559,0.0663771448035083,922,0.0392557585047047,12,0.000510920934985311,1131,0.0481542981223656,44315.0943396226,100543,4,0.000831600831600832,0.000283848992336077,0.000490284623125952,0.6879,0.00484730957372467,0.0412429070580014,31.9,31834324,0.53,0.00256907407407407,0.0218587407407407,37.4923751139963,127.147174609196,37.4923751139963,127.147174609196,"송파구",0.219508550017195,0.000831600831600832,0.76802648678816,0.897243062460454,0.798242891589607
"고덕1동","강동구",6.694029851,28.40547264,110,7,23970,3372,0.140675844806008,476,0.0198581560283688,377,0.0157279933249896,23,0.000959532749269921,708,0.0295369211514393,15874.1721854305,56170,10,0.0029655990510083,0.000495579991609918,0.000652078936328839,0.5549,0.00311320364238411,0.0111877483443709,21.9,9364063,1.51,0.0047009375,0.0168935,37.5633469190868,127.150307307597,37.5633469190868,127.150307307597,"강동구",0.115175704399049,0.0029655990510083,0.595136630207643,0.633555108566713,0.604120526336398
"고덕2동","강동구",6.694029851,28.40547264,110,7,25607,3615,0.14117233568946,659,0.0257351505447729,565,0.0220642792986293,19,0.000741984613582224,800,0.0312414574139884,10242.8,56170,6,0.0016597510373444,0.000495579991609918,0.000652078936328839,0.5549,0.001880375,0.0067574,21.9,9364063,2.5,0.0047009375,0.0168935,37.5658648034013,127.161639531582,37.5658648034013,127.161639531582,"강동구",0.116700916661742,0.0016597510373444,0.597664057958602,0.794912502255096,0.643789245909984
"고척1동","구로구",6.649253731,28.28358209,83,10,26870,5037,0.187458131745441,1036,0.0385560104205434,699,0.0260141421659844,26,0.00096762188314105,1152,0.0428730926684034,23163.7931034483,82729,9,0.00178677784395473,0.000495807141140609,0.000774066250964421,0.7445,0.00935045977011494,0.0183225862068966,19.9,14663398,1.16,0.0108465333333333,0.0212542,37.5006587345099,126.863399066214,37.5006587345099,126.863399066214,"구로구",0.144051775030621,0.00178677784395473,0.642987138650336,0.779216407281768,0.674843413322186
"고척2동","구로구",6.649253731,28.28358209,83,10,25973,5997,0.230893620298002,1494,0.0575212720902476,1364,0.0525160743849382,33,0.00127055018673238,1377,0.0530165941554691,25463.7254901961,82729,6,0.00100050025012506,0.000495807141140609,0.000774066250964421,0.7445,0.0106338562091503,0.0208374509803922,19.9,14663398,1.02,0.0108465333333333,0.0212542,37.505854477902,126.853311377981,37.505854477902,126.853311377981,"구로구",0.166308539274887,0.00100050025012506,0.679868800943158,0.876372969093243,0.7258199450522
"공덕동","마포구",6.619402985,28.65671642,152,6,36878,6490,0.175985682520744,1790,0.0485384239926243,1140,0.0309127393025652,53,0.00143717121318944,1455,0.0394544172677477,36512.8712871287,60697,7,0.00107858243451464,0.000515579835343546,0.000861128022861029,0.6009,0.00139121287128713,0.0330100247524752,28,21399314,1.01,0.001405125,0.033340125,37.5491192098263,126.95778535322,37.5491192098263,126.95778535322,"마포구",0.0921075668156714,0.00107858243451464,0.556910441946981,0.866724727004756,0.629358375208409
"공릉1동","노원구",6.537313433,28.65671642,152,9,36525,7425,0.203285420944559,1480,0.0405201916495551,2558,0.0700342231348391,28,0.000766598220396988,2162,0.059192334017796,25904.2553191489,167236,2,0.000269360269360269,0.000512175076528485,0.000549893396117792,0.4111,0.00395292553191489,0.0114935726950355,16.6,6728358,1.41,0.005573625,0.0162059375,37.624118831247,127.072770324798,37.624118831247,127.072770324798,"노원구",0.215529657017625,0.000269360269360269,0.76143306708443,0.966716439759918,0.809437167607107
"공릉2동","노원구",6.514925373,28.21890547,107,9,42315,6517,0.154011579818031,2407,0.0568829020441924,1047,0.0247429989365473,21,0.000496277915632754,1359,0.0321162708259482,6204.54545454545,167236,6,0.000920669019487494,0.000512175076528485,0.000549893396117792,0.4111,0.00081724706744868,0.00237623717008798,16.6,6728358,6.82,0.005573625,0.0162059375,37.6316133487189,127.094227372811,37.6316133487189,127.094227372811,"노원구",0.168941132924835,0.000920669019487494,0.684231269309449,0.886237332461589,0.731468993609092
"공항동","강서구",6.731343284,28.21641791,98,12,30001,4735,0.157828072397587,1081,0.0360321322622579,1802,0.060064664511183,39,0.00129995666811106,1264,0.0421319289357021,2759.98160073597,111298,6,0.00126715945089757,0.000270571327169929,0.00055695526436927,0.4576,0,0.00469034958601656,19.4,18347568,10.87,0,0.0509841,37.5564907677082,126.794957102465,37.5564907677082,126.794957102465,"강서구",0.216627116047349,0.00126715945089757,0.763251665370788,0.843423166980396,0.78199921794732
"광장동","광진구",6.649253731,28.28358209,83,4,34128,4359,0.127725035161744,618,0.0181082981715893,255,0.007471870604782,26,0.000761837787154243,719,0.02106774496015,14279.4979079498,53438,7,0.00160587290662996,0.000580885316641772,0.00065794153211466,0.6916,0.000482287308228731,0.00408066945606695,23.2,6554954,2.39,0.00115266666666667,0.0097528,37.5482827154808,127.10487223359,37.5482827154808,127.10487223359,"광진구",0.0478246872933912,0.00160587290662996,0.483529325538058,0.801569965189463,0.557900935070492
"광희동","중구",6.626865672,28.2960199,41,5,7086,1205,0.170053626869884,475,0.0670335873553486,241,0.0340107253739769,15,0.00211685012701101,217,0.0306237651707592,9575.67567567567,25849,4,0.0033195020746888,0.00183498426563265,0.00229995765420925,0.9989,0,0.0082509009009009,53.6,61342710,0.74,0,0.00610566666666667,37.565204398553,127.003625213198,37.565204398553,127.003625213198,"중구",-0.21620097444336,0.0033195020746888,0.0460126593262441,0.589825004510192,0.173179424678205
"교남동","종로구",6.641791045,28.04975124,69,2,9788,1740,0.177768696362893,577,0.0589497343686146,241,0.0246219861054352,28,0.00286064568859828,330,0.0337147527584798,27965.7142857143,32325,4,0.00229885057471264,0.00141463725164275,0.00210780950494769,0.5339,0,0.0310939047619048,42,35719537,0.35,0,0.0108828666666667,37.571052931479,126.964161076648,37.571052931479,126.964161076648,"종로구",-0.115273369671801,0.00229885057471264,0.213259694625501,0.715942028985508,0.330808490687701
"구로1동","구로구",6.649253731,28.28358209,83,10,20660,3277,0.158615682478219,433,0.0209583736689255,115,0.00556631171345595,12,0.000580832526621491,546,0.0264278799612778,20254.9019607843,82729,3,0.00091547146780592,0.000495807141140609,0.000774066250964421,0.7445,0.0106338562091503,0.0208374509803922,19.9,14663398,1.02,0.0108465333333333,0.0212542,37.4930320364751,126.875460543427,37.4930320364751,126.875460543427,"구로구",0.125087701883448,0.00091547146780592,0.611561791558807,0.886879569065025,0.675942954508526
"구로2동","구로구",6.634328358,28.04975124,69,10,28662,6538,0.228106901123439,1835,0.0640220501011793,1152,0.0401925894913125,45,0.0015700230270044,1519,0.0529969995115484,16285.2272727273,82729,15,0.00229427959620679,0.000495807141140609,0.000774066250964421,0.7445,0.00616280303030303,0.01207625,19.9,14663398,1.76,0.0108465333333333,0.0212542,37.4974545794588,126.87949456605,37.4974545794588,126.87949456605,"구로구",0.156953671923154,0.00229427959620679,0.664366859390731,0.716506842938274,0.676559434847992
"구로3동","구로구",6.544776119,28.07960199,71,10,24781,3944,0.159154190710625,883,0.0356321375247165,542,0.0218715951737218,25,0.00100883741576208,931,0.0375691053629797,24295.0980392157,82729,8,0.00202839756592292,0.000495807141140609,0.000774066250964421,0.7445,0.0106338562091503,0.0208374509803922,19.9,14663398,1.02,0.0108465333333333,0.0212542,37.4848785036879,126.89498397881,37.4848785036879,126.89498397881,"구로구",0.118621444484567,0.00202839756592292,0.600846562738183,0.749360613810742,0.635575549035515
"구로4동","구로구",6.537313433,28.07960199,71,10,22142,5220,0.235751061331406,1511,0.068241351278114,1048,0.0473308644205582,33,0.00149038027278475,1271,0.0574022220214976,48134.7826086956,82729,8,0.00153256704980843,0.000495807141140609,0.000774066250964421,0.7445,0.0235794202898551,0.0462047826086956,19.9,14663398,0.46,0.0108465333333333,0.0212542,37.4915356891575,126.890197008452,37.4915356891575,126.890197008452,"구로구",0.154710640958823,0.00153256704980843,0.660649934970322,0.810628019323671,0.695721275350518
"구로5동","구로구",6.641791045,28.48258706,64,10,31735,5536,0.174444619505278,1231,0.0387899795178825,571,0.0179927524814873,30,0.000945328501654325,1187,0.0374034977154561,30810.6796116505,82729,6,0.00108381502890173,0.000495807141140609,0.000774066250964421,0.7445,0.0105306148867314,0.020635145631068,19.9,14663398,1.03,0.0108465333333333,0.0212542,37.5020301604394,126.88848081702,37.5020301604394,126.88848081702,"구로구",0.135630542123485,0.00108381502890173,0.629032321824247,0.866078160341795,0.684463855866056
"구산동","은평구",6.634328358,28.14179104,115,20,31362,6927,0.220872393342261,1413,0.0450545245838913,1640,0.0522925833811619,43,0.00137108602767681,2143,0.0683311013328232,22726.0869565217,68309,6,0.00086617583369424,0.000430641076731241,0.000548478187279591,0.5347,0.00151920289855072,0.00958854166666667,16,5112192,1.38,0.0020965,0.0132321875,37.6110635811489,126.907646599346,37.6110635811489,126.907646599346,"은평구",0.340846064435312,0.00086617583369424,0.969094763430047,0.892970794810477,0.951293698520735
"구의1동","광진구",6.597014925,28.12437811,97,4,23686,3623,0.152959554167018,943,0.0398125474964114,990,0.041796842016381,63,0.00265979903740606,809,0.034155197162881,42296.4285714286,53438,4,0.00110405741098537,0.000580885316641772,0.00065794153211466,0.6916,0.00205833333333333,0.0174157142857143,23.2,6554954,0.56,0.00115266666666667,0.0097528,37.541490374908,127.086032431372,37.541490374908,127.086032431372,"광진구",0.0860143932630145,0.00110405741098537,0.546813450003575,0.863576905999112,0.620886398948923
"구의2동","광진구",6.529850746,28.60696517,152,4,26042,4954,0.190231165041087,1126,0.0432378465555641,1182,0.0453882190307964,110,0.00422394593349205,1034,0.0397050917748253,18735.2517985612,53438,4,0.00080742834073476,0.000580885316641772,0.00065794153211466,0.6916,0.000829256594724221,0.00701640287769784,23.2,6554954,1.39,0.00115266666666667,0.0097528,37.5510021085388,127.094449987935,37.5510021085388,127.094449987935,"광진구",0.110379286660933,0.00080742834073476,0.587188491058077,0.900229941549209,0.660391074693022
